# Altitude (m)          Atmospheric Density (kg/m3)
  0.0000000000000000e+00   1.2250000000000001e+00
  2.0000000000000000e+03   1.0064900000000001e+00
  4.0000000000000000e+03   8.1912900000000000e-01
  6.0000000000000000e+03   6.5969699999999998e-01
  8.0000000000000000e+03   5.2516799999999997e-01
  1.0000000000000000e+04   4.1270699999999999e-01
  1.2000000000000000e+04   3.1082799999999999e-01
  1.4000000000000000e+04   2.2675300000000001e-01
  1.6000000000000000e+04   1.6542000000000001e-01
  1.8000000000000000e+04   1.2067600000000001e-01
  2.0000000000000000e+04   8.8034899999999999e-02
  2.2000000000000000e+04   6.3727300000000001e-02
  2.4000000000000000e+04   4.6267400000000000e-02
  2.6000000000000000e+04   3.3688200000000001e-02
  2.8000000000000000e+04   2.4598800000000001e-02
  3.0000000000000000e+04   1.8011900000000001e-02
  3.2000000000000000e+04   1.3225000000000001e-02
  3.4000000000000000e+04   9.6088900000000001e-03
  3.6000000000000000e+04   7.0344099999999996e-03
  3.8000000000000000e+04   5.1869100000000003e-03
  4.0000000000000000e+04   3.8510100000000002e-03
  4.2000000000000000e+04   2.8780199999999998e-03
  4.4000000000000000e+04   2.1644300000000002e-03
  4.6000000000000000e+04   1.6375999999999999e-03
  4.8000000000000000e+04   1.2582500000000000e-03
  5.0000000000000000e+04   9.7752499999999992e-04
  5.2000000000000000e+04   7.6686699999999996e-04
  5.4000000000000000e+04   6.0525200000000003e-04
  5.6000000000000000e+04   4.7526300000000002e-04
  5.8000000000000000e+04   3.7120700000000003e-04
  6.0000000000000000e+04   2.8832100000000002e-04
  6.2000000000000000e+04   2.2264000000000000e-04
  6.4000000000000000e+04   1.7087499999999999e-04
  6.6000000000000000e+04   1.3030800000000001e-04
  6.8000000000000000e+04   9.8706899999999995e-05
  7.0000000000000000e+04   7.4243000000000001e-05
  7.2000000000000000e+04   5.5237000000000000e-05
  7.4000000000000000e+04   4.0701000000000002e-05
  7.6000000000000000e+04   2.9813499999999998e-05
  7.8000000000000000e+04   2.1704599999999999e-05
  8.0000000000000000e+04   1.5700500000000000e-05
  8.2000000000000000e+04   1.1282000000000000e-05
  8.4000000000000000e+04   8.0509999999999997e-06
  8.6000000000000000e+04   5.6411400000000003e-06
